EventType,Attack,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10
HUANG_PCN,false,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0,565748,275185,0.0
HUANG_PCN,false,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0,122377,37587,0.0
HUANG_PCN,false,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0,515414,208900,0.0
HUANG_PCN,false,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0,375074,86218,0.0
HUANG_PCN,false,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0,170068,265976,0.0
HUANG_PCN,false,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0,118528,386335,0.0
HUANG_PCN,false,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0,167919,377650,0.0
HUANG_PCN,false,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0,172684,91879,0.0
HUANG_PCN,false,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0,134471,47857,0.0
HUANG_PCN,false,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0,298161,405896,0.0
HUANG_PCN,false,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0,461533,332330,0.0
HUANG_PCN,false,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0,136607,167803,0.0
HUANG_PCN,false,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0,126926,342773,0.0
HUANG_PCN,false,215661,90778,0.0,215661,90780,24.0,215663,90796,96.0,215666,90829,168.0,215671,90879,240.0,215677,90946,312.0,215685,91031,384.0,215694,91133,456.0,215705,91252,528.0,215717,91388,600.0
HUANG_PCN,false,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0,226781,159988,0.0
HUANG_PCN,false,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0,580245,366788,0.0
HUANG_PCN,false,219089,162385,0.0,219089,162385,0.0,219090,162384,12.0,219100,162376,84.0,219123,162356,156.0,219159,162326,228.0,219209,162284,300.0,219271,162231,372.0,219343,162170,356.0,219388,162133,164.0
HUANG_PCN,false,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0,321903,167087,0.0
HUANG_PCN,false,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0,417181,262124,0.0
HUANG_PCN,false,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0,110531,468431,0.0
HUANG_PCN,false,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0,172893,91471,0.0
